threshold,encoding,resampling,model,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_of_means,runs
5,label,smote,Random Forest,0.7969225902733822,0.003065440849974267,0.6428207767017727,0.0031702018300324443,0.7198716834875775,3
5,label,smote,AdaBoost,0.7615975026146011,0.0013149543389699117,0.6248522301457754,0.0018380348979172296,0.6932248663801883,3
5,label,smote,XGBoost,0.8198494999751941,0.0001291752395288808,0.5872162316457056,0.0005346866824719824,0.7035328658104498,3
5,label,smote,Gaussian NB (GNB),0.6207385420622767,0.0046048518587342175,0.5938845147072843,0.004009090629786688,0.6073115283847805,3
5,label,smote,Neural Network (MLP),0.6928642083690016,0.0067933070879845495,0.6272068749299512,0.002571794747268287,0.6600355416494764,3
5,label,undersample,Random Forest,0.730719166456001,0.005014583172643074,0.6603101154211991,0.0030543785593267134,0.6955146409386,3
5,label,undersample,AdaBoost,0.7126449996199712,0.0071079957442498195,0.6334118659804242,0.004987507483213835,0.6730284328001976,3
5,label,undersample,XGBoost,0.7825895051313304,0.0003331499983397639,0.6338322965022337,0.0015390662780814623,0.7082109008167821,3
5,label,undersample,Gaussian NB (GNB),0.6314367543707833,0.001814279081318704,0.5955133457701524,0.0019873093172949976,0.6134750500704678,3
5,label,undersample,Neural Network (MLP),0.6891036000723251,0.016456973159032374,0.6108694658412644,0.001831396297983655,0.6499865329567948,3
5,label,smoteenn,Random Forest,0.7616684292779862,0.004255354162388286,0.6560188835965098,0.003105217184044679,0.708843656437248,3
5,label,smoteenn,AdaBoost,0.7202598787590192,0.00364042415976554,0.6351413924735856,0.004347366315825922,0.6777006356163024,3
5,label,smoteenn,XGBoost,0.7706815425824933,0.0031624269700896465,0.6496261935081352,0.006836244743476538,0.7101538680453143,3
5,label,smoteenn,Gaussian NB (GNB),0.585274637019413,0.004966871638563066,0.5909230080057996,0.0017912331525057243,0.5880988225126063,3
5,label,smoteenn,Neural Network (MLP),0.673822178365692,0.005136409953944091,0.6270780524367866,0.0019196990418724673,0.6504501154012393,3
5,label,smotetomek,Random Forest,0.7974212995405936,0.0019748081398780026,0.6426300027316917,0.003993008950114913,0.7200256511361427,3
5,label,smotetomek,AdaBoost,0.7620384727613126,0.001852715011118026,0.6226604997053545,0.0003522607216109516,0.6923494862333336,3
5,label,smotetomek,XGBoost,0.8182807047869677,0.0006574533204422924,0.5968682337373633,0.0025656543545955245,0.7075744692621655,3
5,label,smotetomek,Gaussian NB (GNB),0.6195930723087614,0.0054687674931707085,0.5937700508360703,0.003586408924533603,0.6066815615724158,3
5,label,smotetomek,Neural Network (MLP),0.6937244470557901,0.005116660082668671,0.6284175409808436,0.002635287694593931,0.6610709940183168,3
5,onehot,smote,Random Forest,0.7978844542370006,0.00032088664020120004,0.650571389212505,0.0011645268671722068,0.7242279217247528,3
5,onehot,smote,AdaBoost,0.7635045260777716,0.0014903669977961718,0.6306977239479731,0.0009603533843077109,0.6971011250128724,3
5,onehot,smote,XGBoost,0.8199125217690836,0.0013748775589185452,0.5818775532296976,0.001946475463915319,0.7008950374993905,3
5,onehot,smote,Gaussian NB (GNB),0.1981022866300559,0.01161848146201389,0.5341596188938692,0.0037650585441512036,0.36613095276196256,3
5,onehot,smote,Neural Network (MLP),0.7210522902233336,0.008826031344256007,0.6415602943151043,0.0038866085115489995,0.681306292269219,3
5,onehot,undersample,Random Forest,0.7336315213017829,0.0052350832252380354,0.6630982574316481,0.0033606880797724436,0.6983648893667155,3
5,onehot,undersample,AdaBoost,0.7133290556755435,0.0028520000180614923,0.6384299534689989,0.0038315879827944687,0.6758795045722712,3
5,onehot,undersample,XGBoost,0.7899646437763282,0.003614861975507349,0.6317885482429905,0.0035983140978826126,0.7108765960096594,3
5,onehot,undersample,Gaussian NB (GNB),0.21181952903145515,0.004874398211607924,0.5386076346987531,0.001842210717458127,0.3752135818651041,3
5,onehot,undersample,Neural Network (MLP),0.7086163431933613,0.002729431721468606,0.6363153078979431,0.0008756098840249309,0.6724658255456522,3
5,onehot,smoteenn,Random Forest,0.7616495626143028,0.004568878209391857,0.6582905223046159,0.0034749452182245904,0.7099700424594594,3
5,onehot,smoteenn,AdaBoost,0.7194772406095392,0.005886919181207252,0.6399354161936183,0.0046458132001929164,0.6797063284015787,3
5,onehot,smoteenn,XGBoost,0.7716509936344497,0.004878860212795121,0.6490512634321575,0.006656951823595334,0.7103511285333035,3
5,onehot,smoteenn,Gaussian NB (GNB),0.22751098044509746,0.0034274579172414365,0.5394289857428984,0.0008325282730556064,0.38346998309399793,3
5,onehot,smoteenn,Neural Network (MLP),0.7044381889698506,0.002879135900922914,0.6365997144875648,0.003646136009527058,0.6705189517287077,3
5,onehot,smotetomek,Random Forest,0.7957302277794877,0.0005690247385125765,0.6475646279076263,0.002018362204659694,0.721647427843557,3
5,onehot,smotetomek,AdaBoost,0.7626742440701791,0.0029943880255317193,0.6310108734763386,0.0018513197735967714,0.6968425587732588,3
5,onehot,smotetomek,XGBoost,0.8206500496106107,0.0015851393617251047,0.5963809230126339,0.0008112578833752863,0.7085154863116223,3
5,onehot,smotetomek,Gaussian NB (GNB),0.19584112016499192,0.014755135643223203,0.5338262055578473,0.004853926696035074,0.3648336628614196,3
5,onehot,smotetomek,Neural Network (MLP),0.7274344654284167,0.004517229283576722,0.6371752488377623,0.0034307826704791707,0.6823048571330895,3
10,label,smote,Random Forest,0.666109391756522,0.0007373261355343955,0.6815419470034466,0.0006492013908629223,0.6738256693799842,3
10,label,smote,AdaBoost,0.6545106330072513,0.0015217692825028194,0.6550182558581952,0.0017949325428805068,0.6547644444327232,3
10,label,smote,XGBoost,0.6939732683149288,0.0017622465788786966,0.6642154321884187,0.0018892776822340578,0.6790943502516738,3
10,label,smote,Gaussian NB (GNB),0.5744138514245928,0.0034704060833506798,0.6081471349085587,0.002802250503930232,0.5912804931665757,3
10,label,smote,Neural Network (MLP),0.6400594515407716,0.008331577903965123,0.6351981362471139,0.002028188023819764,0.6376287938939427,3
10,label,undersample,Random Forest,0.6719377654114744,0.001824555749569412,0.6815926636052866,0.0015544251782290063,0.6767652145083805,3
10,label,undersample,AdaBoost,0.652048291000987,0.0015096640901049306,0.6515591300898042,0.0016699784749216208,0.6518037105453955,3
10,label,undersample,XGBoost,0.6929386468226354,0.0008992181376129797,0.658888376059545,0.0016651202995588599,0.6759135114410901,3
10,label,undersample,Gaussian NB (GNB),0.5709782838378928,0.005389803645545474,0.6077585659017116,0.0037289387440982407,0.5893684248698022,3
10,label,undersample,Neural Network (MLP),0.6239405130175423,0.0018649842933714164,0.6300729544418007,0.0017808472928963277,0.6270067337296714,3
10,label,smoteenn,Random Forest,0.6703727320048839,0.003448441428326063,0.6730145677108564,0.002986385754901792,0.6716936498578702,3
10,label,smoteenn,AdaBoost,0.6557186653890712,0.0002768247933479572,0.6500992024231106,0.0005541485486340401,0.652908933906091,3
10,label,smoteenn,XGBoost,0.673330734511758,0.005746621785525438,0.6708350473313867,0.005411938091585697,0.6720828909215724,3
10,label,smoteenn,Gaussian NB (GNB),0.5974665666886595,0.002021645998893685,0.608253021442115,0.00022434011569848626,0.6028597940653873,3
10,label,smoteenn,Neural Network (MLP),0.6393461570771203,0.005711683607245163,0.63334957231549,0.0022551969261041566,0.6363478646963052,3
10,label,smotetomek,Random Forest,0.6661418208595999,0.002635896707409453,0.6810888996978367,0.0022440690023365645,0.6736153602787183,3
10,label,smotetomek,AdaBoost,0.6537780104530753,0.0011483416778375983,0.6565915994979362,0.000991805075442058,0.6551848049755058,3
10,label,smotetomek,XGBoost,0.6873900163222325,0.0020373971707560333,0.671318358066654,0.0024177775889356757,0.6793541871944433,3
10,label,smotetomek,Gaussian NB (GNB),0.5738379994207098,0.0015698008829718624,0.6076382168225137,0.0018354607114827717,0.5907381081216118,3
10,label,smotetomek,Neural Network (MLP),0.6319550077263384,0.00844337377675209,0.6388585609088008,0.004295405819775016,0.6354067843175696,3
10,onehot,smote,Random Forest,0.6685200151828057,0.0006422209266710161,0.6806829879614531,0.001311791274738741,0.6746015015721294,3
10,onehot,smote,AdaBoost,0.6513151790934565,0.002212326512148588,0.6516490381173542,0.0021759029569365534,0.6514821086054053,3
10,onehot,smote,XGBoost,0.6942268364572475,0.002139172521402182,0.6587720319230039,0.0021338397459396015,0.6764994341901257,3
10,onehot,smote,Gaussian NB (GNB),0.2119864113490381,0.006900705337900524,0.5369601067508161,0.0013939181415795275,0.37447325904992707,3
10,onehot,smote,Neural Network (MLP),0.650778414400889,0.0007299353006112997,0.6576822490972959,0.001905153929277445,0.6542303317490925,3
10,onehot,undersample,Random Forest,0.6712054427073194,0.001726827161557276,0.6787339923325785,0.0007150181665549149,0.6749697175199489,3
10,onehot,undersample,AdaBoost,0.6499412651456381,0.0016442942640413358,0.6485051821757198,0.0010940994860969252,0.649223223660679,3
10,onehot,undersample,XGBoost,0.6940572741983467,0.0010277255240717788,0.6558629782810544,0.0011600486083087498,0.6749601262397006,3
10,onehot,undersample,Gaussian NB (GNB),0.20075789081736375,0.014527293343562855,0.5350080586230549,0.002857439351249827,0.3678829747202093,3
10,onehot,undersample,Neural Network (MLP),0.6498591250491492,0.0025180404903649,0.6556163400750625,0.0033919468814222133,0.6527377325621059,3
10,onehot,smoteenn,Random Forest,0.6686770364050009,0.0021759600541437656,0.6723557516112427,0.0024652297601822112,0.6705163940081218,3
10,onehot,smoteenn,AdaBoost,0.6553790583539514,0.0029530059762018415,0.6489347239185664,0.0029164080456826483,0.652156891136259,3
10,onehot,smoteenn,XGBoost,0.6722099704747002,0.005682351690114861,0.6694200048499468,0.00527501425114152,0.6708149876623235,3
10,onehot,smoteenn,Gaussian NB (GNB),0.30218918162786745,0.013506398285789872,0.5534007410952627,0.0046141090098779395,0.4277949613615651,3
10,onehot,smoteenn,Neural Network (MLP),0.6529433058781785,0.0031079994153201894,0.6570048399826234,0.002322639947040509,0.654974072930401,3
10,onehot,smotetomek,Random Forest,0.666697040549533,0.002639817451199359,0.6793108552704613,0.002246491086522599,0.6730039479099972,3
10,onehot,smotetomek,AdaBoost,0.6513858577836927,0.0021120671023069355,0.6523161739660099,0.0018470362026347712,0.6518510158748514,3
10,onehot,smotetomek,XGBoost,0.6921346169200641,0.0013611117179900733,0.6716802866992214,0.0015813621205159284,0.6819074518096427,3
10,onehot,smotetomek,Gaussian NB (GNB),0.23172868127960142,0.024211164571937255,0.541339288110558,0.004891404014190637,0.3865339846950797,3
10,onehot,smotetomek,Neural Network (MLP),0.6481586604490456,0.000560281890121677,0.6586154974536697,0.003510589601779579,0.6533870789513576,3
15,label,smote,Random Forest,0.5482897591517305,0.001463844977375076,0.6682754277414716,0.0007675801788031394,0.6082825934466011,3
15,label,smote,AdaBoost,0.5335143195361537,0.0029682175738225194,0.6434544217783843,0.002053351673210915,0.588484370657269,3
15,label,smote,XGBoost,0.5881930247559631,0.000934395199560689,0.6851406358724622,0.0007842570966051405,0.6366668303142127,3
15,label,smote,Gaussian NB (GNB),0.4987839638361777,0.002413134285036113,0.6088353080015285,0.00176500063984344,0.5538096359188531,3
15,label,smote,Neural Network (MLP),0.5376751422823206,0.003880026494685204,0.6406238304040413,0.004375660808731546,0.589149486343181,3
15,label,undersample,Random Forest,0.5834236547165478,0.0026315545908240324,0.6826796859768027,0.0022217545083067043,0.6330516703466753,3
15,label,undersample,AdaBoost,0.5561386281934241,0.0009027495943506761,0.6526404837207355,0.0007732913067358677,0.6043895559570798,3
15,label,undersample,XGBoost,0.5751970272067489,0.0028250311977627454,0.6625388902218455,0.00315173735249986,0.6188679587142972,3
15,label,undersample,Gaussian NB (GNB),0.5047288554956023,0.004052176459429438,0.6133662515979245,0.002625931862668192,0.5590475535467634,3
15,label,undersample,Neural Network (MLP),0.5212029030789304,0.0036859788585460636,0.6223969286462453,0.006810715642415824,0.5717999158625878,3
15,label,smoteenn,Random Forest,0.5757910578322786,0.0038116320785486326,0.6789769924019794,0.003338382573667836,0.627384025117129,3
15,label,smoteenn,AdaBoost,0.5544160755651536,0.001302141844333014,0.6498281641366153,0.0008830940460625531,0.6021221198508844,3
15,label,smoteenn,XGBoost,0.5728045581367546,0.0017388626529475843,0.6731102309521466,0.0016957357643411315,0.6229573945444506,3
15,label,smoteenn,Gaussian NB (GNB),0.5160287088634687,0.0024942945058401334,0.6131401735489093,0.0014463070071490593,0.564584441206189,3
15,label,smoteenn,Neural Network (MLP),0.546383196535871,0.0038266353986792256,0.6424552959926787,0.004633144330656201,0.5944192462642748,3
15,label,smotetomek,Random Forest,0.5419124619326712,0.002274044031551125,0.6641432177821839,0.001489537157025268,0.6030278398574276,3
15,label,smotetomek,AdaBoost,0.5302381104112549,0.0038780315121308257,0.64104094218272,0.0028293573514364093,0.5856395262969875,3
15,label,smotetomek,XGBoost,0.5824644912489793,0.0029826487689847267,0.6827595818469968,0.0023230465836694514,0.632612036547988,3
15,label,smotetomek,Gaussian NB (GNB),0.4995854568410579,0.002311093733864969,0.6093593999101717,0.0014834234445605648,0.5544724283756148,3
15,label,smotetomek,Neural Network (MLP),0.5457302769421825,0.0061225044832284425,0.6477063966698111,0.004076236374435287,0.5967183368059967,3
15,onehot,smote,Random Forest,0.5500568047564972,0.004337655224759146,0.6679730059520952,0.00282415800489653,0.6090149053542961,3
15,onehot,smote,AdaBoost,0.5394373977059158,0.00504189192479497,0.6465902709275796,0.003821070438971083,0.5930138343167477,3
15,onehot,smote,XGBoost,0.5873751601966962,0.0030050344959302987,0.682387151986374,0.002806341962168654,0.6348811560915351,3
15,onehot,smote,Gaussian NB (GNB),0.3542419808407953,0.012957332179652769,0.5537202124983945,0.009181766682791205,0.4539810966695949,3
15,onehot,smote,Neural Network (MLP),0.5588578510180261,0.003948699473476554,0.6624101438375855,0.0024591497390224052,0.6106339974278058,3
15,onehot,undersample,Random Forest,0.5840560436838258,0.0014366419141133018,0.6827366837447914,0.0014823892124721223,0.6333963637143085,3
15,onehot,undersample,AdaBoost,0.5581700159317265,0.0023636977984864615,0.6529575341322049,0.0019276520255409038,0.6055637750319658,3
15,onehot,undersample,XGBoost,0.5738013616480843,0.002261255043228165,0.6592247291066591,0.0020412414825922835,0.6165130453773717,3
15,onehot,undersample,Gaussian NB (GNB),0.21657783511466497,0.021167081109116404,0.5368064779737728,0.004766457629726035,0.3766921565442189,3
15,onehot,undersample,Neural Network (MLP),0.5545267894153055,0.000985904061351142,0.654306637161509,0.0019011717858820618,0.6044167132884073,3
15,onehot,smoteenn,Random Forest,0.5747769413456744,0.00214733058543306,0.6779196685833261,0.0017952994599958513,0.6263483049645002,3
15,onehot,smoteenn,AdaBoost,0.5575350147063628,0.0006374118048908679,0.6523126808324952,0.0012264106441774098,0.604923847769429,3
15,onehot,smoteenn,XGBoost,0.5725920725151835,0.0015649801881785215,0.6726157705388274,0.0012953577268614844,0.6226039215270054,3
15,onehot,smoteenn,Gaussian NB (GNB),0.21738993728641956,0.018149915794930794,0.5343518973100057,0.004510791783030642,0.3758709172982126,3
15,onehot,smoteenn,Neural Network (MLP),0.5563146054248765,0.005026429909899756,0.6576967026075261,0.0037697112490184103,0.6070056540162013,3
15,onehot,smotetomek,Random Forest,0.5525130166224613,0.00251500876053381,0.669865745362245,0.00156951072301367,0.6111893809923532,3
15,onehot,smotetomek,AdaBoost,0.5362095167960063,0.0025019323184913107,0.6448131245748064,0.0010961247028367894,0.5905113206854063,3
15,onehot,smotetomek,XGBoost,0.5831010514026037,0.00254020702934574,0.681039318735866,0.002214253602421438,0.6320701850692348,3
15,onehot,smotetomek,Gaussian NB (GNB),0.36816803145234406,0.010499305721025629,0.558857892603742,0.012001741848132543,0.46351296202804304,3
15,onehot,smotetomek,Neural Network (MLP),0.5590430476526289,0.0023170865802522194,0.6627139608660427,0.001003287494851296,0.6108785042593359,3
20,label,smote,Random Forest,0.41844281436952874,0.0028792187301864324,0.625432414375084,0.0015940917784121704,0.5219376143723063,3
20,label,smote,AdaBoost,0.40743765963549067,0.00714187980335452,0.6106696751528305,0.004946518683822176,0.5090536673941606,3
20,label,smote,XGBoost,0.48624132526493585,0.007918593176406929,0.6701104658220407,0.005893690307885214,0.5781758955434882,3
20,label,smote,Gaussian NB (GNB),0.4126143738448236,0.0010458570433829703,0.6055460778396046,0.0012795632522926564,0.509080225842214,3
20,label,smote,Neural Network (MLP),0.43731297081023346,0.0037610320680870487,0.6288559027925066,0.004115978848828198,0.5330844368013701,3
20,label,undersample,Random Forest,0.4864715245436531,0.006017221523674451,0.6740738981147105,0.005577728984366444,0.5802727113291818,3
20,label,undersample,AdaBoost,0.44919898562448995,0.003971351028226713,0.638606938098648,0.003997663451244859,0.543902961861569,3
20,label,undersample,XGBoost,0.4623175936826418,0.0017421725194163603,0.6521614450201877,0.0019764445512536655,0.5572395193514148,3
20,label,undersample,Gaussian NB (GNB),0.42430729767996106,0.002749503697776119,0.6156835712293453,0.0026681001532823144,0.5199954344546531,3
20,label,undersample,Neural Network (MLP),0.4116134437605045,0.005539230837374167,0.6038691693953461,0.004577705181244704,0.5077413065779253,3
20,label,smoteenn,Random Forest,0.4696417479451502,0.007294938796045146,0.6568698704048814,0.005410257914593827,0.5632558091750158,3
20,label,smoteenn,AdaBoost,0.4399555802786539,0.0009542475499729873,0.6301567378977402,0.0010556420292666994,0.535056159088197,3
20,label,smoteenn,XGBoost,0.4755543792072135,0.0033516025812919048,0.662575397801702,0.0028562803872269303,0.5690648885044578,3
20,label,smoteenn,Gaussian NB (GNB),0.42057293757479536,0.002620620607014284,0.6095618119583032,0.0029019850674211166,0.5150673747665493,3
20,label,smoteenn,Neural Network (MLP),0.4431495829781553,0.003257718953347063,0.6330021568637925,0.0031135744464603683,0.5380758699209739,3
20,label,smotetomek,Random Forest,0.41752259229909017,0.0017281108308063676,0.6248173798414879,0.0012600100655207123,0.521169986070289,3
20,label,smotetomek,AdaBoost,0.41162745475674895,0.0023543116799459346,0.6133964849393972,0.0014851728550535905,0.5125119698480731,3
20,label,smotetomek,XGBoost,0.4813475060941132,0.005459497339743827,0.6659969192448117,0.003863760398142693,0.5736722126694624,3
20,label,smotetomek,Gaussian NB (GNB),0.4124555942294749,0.0015085445494266564,0.6052772140270196,0.0015168534640531092,0.5088664041282472,3
20,label,smotetomek,Neural Network (MLP),0.43821612872136195,0.010678750442001424,0.6291192867277727,0.009940808909001647,0.5336677077245673,3
20,onehot,smote,Random Forest,0.42328816064438435,0.004447963370290276,0.6273543629909698,0.0026559129813476957,0.525321261817677,3
20,onehot,smote,AdaBoost,0.42299377388542897,0.005833419984269777,0.619908397440671,0.004847227792018929,0.52145108566305,3
20,onehot,smote,XGBoost,0.4907620226443663,0.0025085014499640563,0.675094613244985,0.001820602599022772,0.5829283179446756,3
20,onehot,smote,Gaussian NB (GNB),0.3794094860161488,0.007282663988259165,0.5319556856816944,0.004541441532497257,0.45568258584892163,3
20,onehot,smote,Neural Network (MLP),0.45580949504774254,0.0030002882230880296,0.6464322217624238,0.002370513121732145,0.5511208584050832,3
20,onehot,undersample,Random Forest,0.4862363057175932,0.0065017857402669965,0.6739045717908443,0.00584076549713209,0.5800704387542187,3
20,onehot,undersample,AdaBoost,0.4536180123618852,0.0027166442465125923,0.6428629970969848,0.002647354043706554,0.548240504729435,3
20,onehot,undersample,XGBoost,0.46062341707019944,0.0010057441495692643,0.6502715649982891,0.0012044431529366123,0.5554474910342443,3
20,onehot,undersample,Gaussian NB (GNB),0.1919531983715347,0.0121986460210755,0.5344740422757034,0.0028894736286538465,0.36321362032361904,3
20,onehot,undersample,Neural Network (MLP),0.45212929564276755,0.004350118268066033,0.6415978670792496,0.004378908258739908,0.5468635813610085,3
20,onehot,smoteenn,Random Forest,0.46760892463690684,0.0052369769609858065,0.6554139480683171,0.0039590754063845894,0.5615114363526119,3
20,onehot,smoteenn,AdaBoost,0.4405535373017029,0.0036371982983399815,0.630523321999665,0.0035486667940722986,0.535538429650684,3
20,onehot,smoteenn,XGBoost,0.477704303468357,0.004334679067473668,0.6648488011563881,0.003614802552946192,0.5712765523123726,3
20,onehot,smoteenn,Gaussian NB (GNB),0.22889346012571657,0.024176006093952485,0.5415423644686096,0.0038896793552315287,0.38521791229716307,3
20,onehot,smoteenn,Neural Network (MLP),0.4623595617422182,0.007009564976544832,0.65154990767894,0.006215525550307609,0.5569547347105791,3
20,onehot,smotetomek,Random Forest,0.4277876375495094,0.005659233702003283,0.6299562678139218,0.0032700818219941127,0.5288719526817156,3
20,onehot,smotetomek,AdaBoost,0.4175337329422644,0.00269008462182679,0.6158420582469484,0.0027593906210085215,0.5166878955946064,3
20,onehot,smotetomek,XGBoost,0.48404383809483437,0.004444186439036346,0.6688488864128891,0.0033017378157102193,0.5764463622538617,3
20,onehot,smotetomek,Gaussian NB (GNB),0.3807608758163013,0.005595360187655339,0.5325375571121674,0.005329649962831901,0.4566492164642344,3
20,onehot,smotetomek,Neural Network (MLP),0.4508293571454089,0.00920987047289264,0.642516194807544,0.0074217099291471545,0.5466727759764765,3
25,label,smote,Random Forest,0.34937878846851284,0.006955333870157987,0.6090236782326592,0.0039714799176636655,0.47920123335058606,3
25,label,smote,AdaBoost,0.3448335637587721,0.0052015373731116804,0.6092199849994763,0.0037639574452083416,0.4770267743791242,3
25,label,smote,XGBoost,0.3963441077404711,0.0019194257002797062,0.6436935312438976,0.0016100410548939876,0.5200188194921843,3
25,label,smote,Gaussian NB (GNB),0.329711457648005,0.000697009821527531,0.5981435228753172,0.0008779609094251054,0.46392749026166114,3
25,label,smote,Neural Network (MLP),0.3696500487748608,0.002344990466904787,0.6355444166224767,0.0008530326182482068,0.5025972326986687,3
25,label,undersample,Random Forest,0.39806630614757904,0.006829866718191479,0.6676623694748433,0.00622501814926649,0.5328643378112111,3
25,label,undersample,AdaBoost,0.36519391880837876,0.004311049591123481,0.6374908374168582,0.004214620501985473,0.5013423781126185,3
25,label,undersample,XGBoost,0.36575618930067844,0.0014355497951616318,0.6425885715559593,0.0017205684978976224,0.5041723804283189,3
25,label,undersample,Gaussian NB (GNB),0.3391633016750151,0.00486970866900072,0.6081860697915787,0.005103563264892421,0.47367468573329696,3
25,label,undersample,Neural Network (MLP),0.32959783507848844,0.011897147262740973,0.6010548120586245,0.010524824594880631,0.4653263235685565,3
25,label,smoteenn,Random Forest,0.39059316494334356,0.004533566595218803,0.641361011685698,0.0033478547256993677,0.5159770883145208,3
25,label,smoteenn,AdaBoost,0.36073189417176704,0.002263675209288954,0.6281872344075212,0.0022890009776136955,0.4944595642896441,3
25,label,smoteenn,XGBoost,0.394770488012659,0.0015306431436427211,0.652254322476567,0.0014332462066506207,0.523512405244613,3
25,label,smoteenn,Gaussian NB (GNB),0.3346163269574279,0.0009315117194598523,0.6036541565930098,0.001011605295117186,0.4691352417752188,3
25,label,smoteenn,Neural Network (MLP),0.36631854029194105,0.0014028296480405066,0.6368780615102643,0.001545085883248065,0.5015983009011027,3
25,label,smotetomek,Random Forest,0.3502430918025936,0.004459313651916655,0.6095273200634136,0.0026331646009657246,0.4798852059330036,3
25,label,smotetomek,AdaBoost,0.34366718303063243,0.003393528300625268,0.6087387786978461,0.0025677651225153152,0.4762029808642393,3
25,label,smotetomek,XGBoost,0.3973303540203849,0.005358863362420133,0.6434026502839987,0.003796363497050187,0.5203665021521918,3
25,label,smotetomek,Gaussian NB (GNB),0.3302810497589313,0.0013931921706539015,0.598757369153664,0.001632966171072753,0.46451920945629765,3
25,label,smotetomek,Neural Network (MLP),0.3685070272753768,0.003339073496486148,0.6351244398178263,0.0021824608770373943,0.5018157335466016,3
25,onehot,smote,Random Forest,0.3615146973614722,0.0026736481401473874,0.6165214538785716,0.0017620805089751496,0.48901807562002186,3
25,onehot,smote,AdaBoost,0.3558559029167018,0.003033503975958201,0.619564178262007,0.002498621284446091,0.4877100405893544,3
25,onehot,smote,XGBoost,0.41230609779421207,0.00605431106709151,0.6586876122398785,0.004650860533554883,0.5354968550170452,3
25,onehot,smote,Gaussian NB (GNB),0.29079222330609616,0.0006826791743659616,0.5221227445520975,0.0013307405945701353,0.40645748392909686,3
25,onehot,smote,Neural Network (MLP),0.3649436714658725,0.007097586201691349,0.6262156386536526,0.006197109655623477,0.49557965505976254,3
25,onehot,undersample,Random Forest,0.3978708166832399,0.00298470673788126,0.6674816509258353,0.002162331064064048,0.5326762338045377,3
25,onehot,undersample,AdaBoost,0.36459466781278166,0.003417338016334225,0.6372552477884809,0.003364097288605626,0.5009249578006313,3
25,onehot,undersample,XGBoost,0.3727973720990736,0.00026317974645313026,0.6525858661220605,0.00010106302023448136,0.512691619110567,3
25,onehot,undersample,Gaussian NB (GNB),0.19834977469907467,0.014437392897132256,0.5349111349810207,0.012126572365875441,0.3666304548400477,3
25,onehot,undersample,Neural Network (MLP),0.3549954262454255,0.009871988216875212,0.6251460147398012,0.010968367151141575,0.49007072049261335,3
25,onehot,smoteenn,Random Forest,0.3919215642912917,0.004566117388578914,0.6434197235065554,0.003350675032255366,0.5176706438989236,3
25,onehot,smoteenn,AdaBoost,0.36205420392154347,0.002928405418628727,0.6321424226380253,0.0032797966067794906,0.4970983132797844,3
25,onehot,smoteenn,XGBoost,0.4010689174282116,0.005022378498987006,0.6595535951683041,0.004232241289422589,0.5303112562982579,3
25,onehot,smoteenn,Gaussian NB (GNB),0.23867625182037186,0.008911966198521372,0.5484063844718517,0.010302923558008504,0.3935413181461118,3
25,onehot,smoteenn,Neural Network (MLP),0.3747571806243332,0.006090648210935191,0.6404049688870057,0.005804470735487494,0.5075810747556695,3
25,onehot,smotetomek,Random Forest,0.36384957344548424,0.0013338109924904418,0.6177887252901553,0.0009498379754790603,0.4908191493678198,3
25,onehot,smotetomek,AdaBoost,0.35376701750357215,0.0021451045274252186,0.6174503396281917,0.001811727958139752,0.48560867856588197,3
25,onehot,smotetomek,XGBoost,0.40855673641451395,0.010084534381755762,0.6552662902508773,0.007139670067562432,0.5319115133326957,3
25,onehot,smotetomek,Gaussian NB (GNB),0.2904078762795165,0.0010859103503597367,0.5215646415949654,0.00228773254596168,0.40598625893724094,3
25,onehot,smotetomek,Neural Network (MLP),0.37154529925089713,0.0055196026293149745,0.6311782637606018,0.005616986955888098,0.5013617815057495,3
